Mizushibuki no Sign;https://static.wikia.nocookie.net/love-live/images/3/34/02._Mizushibuki_no_Sign.ogg/revision/latest?cb=20220810054614
Star Sengen;https://static.wikia.nocookie.net/love-live/images/8/86/02._Star_Sengen.ogg/revision/latest?cb=20220803053905
4 SEASONS;https://static.wikia.nocookie.net/love-live/images/3/39/02_4_SEASONS.ogg/revision/latest?cb=20220510131531
Aoi Canaria;https://static.wikia.nocookie.net/love-live/images/d/db/02_Aoi_Canaria.ogg/revision/latest?cb=20211006101145
Dakara Bokura wa Narasunda;https://static.wikia.nocookie.net/love-live/images/c/c4/02_Dakara_Bokura_wa_Narasunda.ogg/revision/latest?cb=20210720055835
Dancing Heart La-Pa-Pa-Pa!;https://static.wikia.nocookie.net/love-live/images/5/57/02_Dancing_Heart_La-Pa-Pa-Pa%21.ogg/revision/latest?cb=20210406033829
Koisuru Magic!!;https://static.wikia.nocookie.net/love-live/images/f/f4/02_Koisuru_Magic%21%21.ogg/revision/latest?cb=20220524060457
Kono Machi de Ima Kimi to;https://static.wikia.nocookie.net/love-live/images/6/68/02_Kono_Machi_de_Ima_Kimi_to.ogg/revision/latest?cb=20210803041014
Level Oops! Adventures;https://static.wikia.nocookie.net/love-live/images/2/25/02_Level_Oops%21_Adventures.ogg/revision/latest?cb=20220726031933
Miracle STAY TUNE!;https://static.wikia.nocookie.net/love-live/images/0/0e/02_Miracle_STAY_TUNE%21.ogg/revision/latest?cb=20211124124416
Mizuiro no Sunday;https://static.wikia.nocookie.net/love-live/images/8/8a/03.Mizuiro_no_Sunday.ogg/revision/latest?cb=20220302040308
TO BE YOURSELF;https://static.wikia.nocookie.net/love-live/images/8/8b/03.TO_BE_YOURSELF.ogg/revision/latest?cb=20211128055432
Irozuite Toumei;https://static.wikia.nocookie.net/love-live/images/f/fe/03._Irozuite_Toumei.ogg/revision/latest?cb=20220816104128
Yuragu wa;https://static.wikia.nocookie.net/love-live/images/4/4a/03._Yuragu_wa.ogg/revision/latest?cb=20220816111407
stars we chase;https://static.wikia.nocookie.net/love-live/images/b/b3/03._stars_we_chase.ogg/revision/latest?cb=20220621053314
Dreaming Energy;https://static.wikia.nocookie.net/love-live/images/3/3d/03_Dreaming_Energy.ogg/revision/latest?cb=20210406130354
I'm Still;https://static.wikia.nocookie.net/love-live/images/4/49/03_I%27m_Still%E2%80%A6.ogg/revision/latest?cb=20211006101203
Shooting Voice!!;https://static.wikia.nocookie.net/love-live/images/e/e9/03_Shooting_Voice%21%21.ogg/revision/latest?cb=20211124124529
Watashi no Symphony;https://static.wikia.nocookie.net/love-live/images/2/2b/03_Watashi_no_Symphony.ogg/revision/latest?cb=20210406034146
Eieisa;https://static.wikia.nocookie.net/love-live/images/e/e7/04.Eieisa.ogg/revision/latest?cb=20211128055619
Flyer's High;https://static.wikia.nocookie.net/love-live/images/d/de/04.Flyer%27s_High.ogg/revision/latest?cb=20220302040318
Queendom;https://static.wikia.nocookie.net/love-live/images/1/1f/04_Queendom.ogg/revision/latest?cb=20211006101225
Mitero!;https://static.wikia.nocookie.net/love-live/images/9/9e/05.Mitero%21.ogg/revision/latest?cb=20220302040331
Turn it Up!;https://static.wikia.nocookie.net/love-live/images/d/db/05.Turn_it_Up%21.ogg/revision/latest?cb=20211128055630
Diabolic mulier;https://static.wikia.nocookie.net/love-live/images/c/c7/06.Diabolic_mulier.ogg/revision/latest?cb=20211128055655
Binetsu no Waltz;https://static.wikia.nocookie.net/love-live/images/4/43/07.Binetsu_no_Waltz.ogg/revision/latest?cb=20220302040349
Main theme of Aqours 5th anniversary!!;https://static.wikia.nocookie.net/love-live/images/1/1b/07.Main_theme_of_Aqours_5th_anniversary%21%21.ogg/revision/latest?cb=20210330132801
Silent Blaze;https://static.wikia.nocookie.net/love-live/images/2/22/07.Silent_Blaze.ogg/revision/latest?cb=20211128055731
Konnichiwa! ~Shibuya Kanon~;https://static.wikia.nocookie.net/love-live/images/7/75/07_Konnichiwa%21_~Shibuya_Kanon~.ogg/revision/latest?cb=20210406035621
Aozora o Matteru;https://static.wikia.nocookie.net/love-live/images/9/99/08.Aozora_o_Matteru.ogg/revision/latest?cb=20220302040409
Yada!;https://static.wikia.nocookie.net/love-live/images/9/96/08.Yada%21.ogg/revision/latest?cb=20211128055745
Doumo! ~Tang Keke~;https://static.wikia.nocookie.net/love-live/images/1/11/08_Doumo%21_~Tang_Keke~.ogg/revision/latest?cb=20210406035644
Itsu datte for you!;https://static.wikia.nocookie.net/love-live/images/7/74/09.Itsu_datte_for_you%21.ogg/revision/latest?cb=20211128055800
Nameless Love Song;https://static.wikia.nocookie.net/love-live/images/4/47/09.Nameless_Love_Song.ogg/revision/latest?cb=20210727134523
Meimei Tantei Yohane;https://static.wikia.nocookie.net/love-live/images/3/39/09._Meimei_Tantei_Yohane.ogg/revision/latest?cb=20220713022109
Uissu! Arashi Chisato ;https://static.wikia.nocookie.net/love-live/images/f/f6/09_Uissu%21_Arashi_Chisato_.ogg/revision/latest?cb=20210406040125
ara 1 e, 1 kara sono saki e!;https://static.wikia.nocookie.net/love-live/images/1/1d/0_Kara_1_e%2C_1_kara_sono_saki_e%21.ogg/revision/latest?cb=20180223150848
First Love Again;https://static.wikia.nocookie.net/love-live/images/e/e9/10.First_Love_Again.ogg/revision/latest?cb=20211128060010
Unison;https://static.wikia.nocookie.net/love-live/images/c/c8/10.Unison.ogg/revision/latest?cb=20220302040418
Omataseshimashita! Heanna Sumire ;https://static.wikia.nocookie.net/love-live/images/3/37/10_Omataseshimashita%21_Heanna_Sumire_.ogg/revision/latest?cb=20210406040149
Concentrate!;https://static.wikia.nocookie.net/love-live/images/7/70/11.Concentrate%21.ogg/revision/latest?cb=20211128060033
Hajimemashite. Hazuki Ren ;https://static.wikia.nocookie.net/love-live/images/9/9b/11_Hajimemashite._Hazuki_Ren_.ogg/revision/latest?cb=20210406040219
